,Dates,Ratings,Reviews
0,"June 24, 2019",Rated 4 stars out of five stars,"it is great. so much convenient. being able to do most of your banking through the app really helps. BUT there are still areas for improvement. for example, when you want to schedule transfers, the only options are either (1) your other accounts with nbd, (2) other peoples nbd accounts, and (3) Emirates Islamic accounts. kindly include a 4th option of scheduling transfers to other bank accounts."
1,"June 15, 2019",Rated 1 stars out of five stars,"After introducing the Smart Pass I can't use online banking as well as banking through app. They ask me to activate Smart Pass first, but always return an error and not able to complete activation. I need to make my routine payments, but not able to do it. Very frustrating. * problem solved"
2,"June 24, 2019",Rated 1 stars out of five stars,Used to be good but... Edit: all the new unnecessary features are bloating this app and almost made it unusable due to its slowness. Don't blame my phone I'm running on oneplus 6 and lg v20 both have more than sufficient memory. Look at all the recent bad reviews. This bank seemed to become blind on what their customers really need.
3,"June 22, 2019",Rated 5 stars out of five stars,avoid prompting for update every 3 days... there could be someone outside with limited data plan who cannot update the app immediately and wants only to do a transaction.. also try to set minimum number of changes I.e. 3 in order to release an update and not only minor bug fixes to be main reason for update as a must please.
4,"June 19, 2019",Rated 1 stars out of five stars,"customer care no response. Emirates NBD pay also not working, very stupid bank, Opening times very slow, Some transaction not showing, face banking chat facility not working since 7 months. now a days they have worst service, They notify schedule maintenance for adding beneficiary from june 2 to 9 but today June 19 still can't able to add beneficiary. Very worst service. I can use alternative option but it take 3 days they said, then why I use this stupid banking. Looking for alternative bank."
5,"June 22, 2019",Rated 1 stars out of five stars,"you chose to update in the worst time possible its 20st of June 2019, same thing. You have to give option to chose to update some other time. I need urgent to access now my funds, i dont have time for updates now, Jeeeeesus"
6,"June 24, 2019",Rated 1 stars out of five stars,"Worst banking app ever. I transferred money through direct remit after activating this app but until now benefiary haven't rcvd the funds. It's been 7days now but no one can tell me what is the problem. Customer service have different version some said they will return the money after 48hrs the other after 6days. Worst app, worst customer service = WORST BANK!! They doesn't care their customers. If you continue like this you are losing your customers!!"
7,"June 18, 2019",Rated 1 stars out of five stars,"This new update is forcing the user to accept certain settings, it is very funny to ask for your permission for the app to initiate calls but if you deny it the application doesn't work!! So this is totally useless unless to provide that kind of permission to the application (no respect to client choice and privacy). Total disappointment and failure. I m sure that no one in the bank will even care to review these comments and issues from the different users at the end of the day(disconnect) ."
8,"June 22, 2019",Rated 1 stars out of five stars,"DirectRemit is not working due to their maintenance. However, the advisory on the maintenance is from June 2-9. Now it is already June 22. 2019, still it is under maintenance.🙁"
9,"June 10, 2019",Rated 1 stars out of five stars,having this app as a requirement to acces web banking is questionable because phones remeber all activity and criminals can access this very easily as long as they are in the phone proximity. Maybe some one should be reading the news before making security desisions like these. i will never trust an phone app to do my banking. phones are not secure they leak information. May be we all should consider the 5G argument before we trust our phone apps
10,"June 1, 2019",Rated 1 stars out of five stars,"ive been using this app for a while now, but this new update is bad. its asking to take picture and video? then loading takes forever including log out takes forever!!! bad job guys..."
11,"June 22, 2019",Rated 1 stars out of five stars,"There's no option to change add another account, I update the latest version and choose 'remember me' before login, after logging out it does not give option to add another user/account"
12,"June 19, 2019",Rated 1 stars out of five stars,"The App is forcing permissions on irrelevant things like it wants to initiate phone calls, access media in the phone etc. The installation of this app itself is forced as otherwise customers cannot access their banking needs through online. Very bad banking ethics...Totally unhappy..."
13,"June 28, 2019",Rated 1 stars out of five stars,You are pushing me to use Smart Pay which I DO NOT WANT. I am not even given choice if I want it or not at the end. When I open application it says if I want I can choose to use it but I don't want! However I cannot use the app later if I don't accept. What kind of CHOICE do I have then???
14,"June 13, 2019",Rated 1 stars out of five stars,I was applied for loan on April 16 till today loan amount is not disbursed .Every other day I was following up the loan agent they are telling that amount will be credited today or tomorrow .Nothing was happend so far .
15,"June 24, 2019",Rated 1 stars out of five stars,"it isnt user friendly at all, lags almost everytime and lacks the general speed of a banking app. The latest update .i.e ""smart pass"" is forced on you. The first pop up box gives the option to allow or deny if you click deny then a new pop up comes only with the option of allow and then its a cycle. And why would i want to allow the app to make phone calls, i understand receiving them but why make calls. Overall the experience is very disappointing."
16,"June 11, 2019",Rated 1 stars out of five stars,I am trying to add a beneficiary everytime it crashes when I submit all information it's very frustrating. I don't know what fixes they are doing in updates
17,"June 11, 2019",Rated 1 stars out of five stars,"Extremely frustrating. It was once working fine, but now it always lags and I can't make payment easily or pay the credit card balance. I'm really disappointed."
18,"June 10, 2019",Rated 4 stars out of five stars,Can't use running Android 10 beta 4. It won't login( showing a message that my Android is too old) and won't generate Smart Passes. Other banking apps are running just fine on this beta.
19,"June 13, 2019",Rated 1 stars out of five stars,"very bad, complex, time out too short, send email takes long, enbd is forcing to download the app otherwise no access to your online account."
20,"June 11, 2019",Rated 1 stars out of five stars,very slow..lots of graphics which is slowing down navigation....app need to be very fast...other banks' apps are much faster and very quick performance
21,"June 6, 2019",Rated 5 stars out of five stars,my options where that suvo sarkar has email me that a cousin of mine had pass away and have left behind a big lumbe of money as hi sees it he arange to get the money as hi said to my name hi had an account open in my name suposelly transfer the mony yet up till this moment nothing I see nothing I have and no clue where the mony went in this case you have to ask suvo sarkar and the lawyer rowaad el malik the tow of them hid the money of the amount of $26700.000 thousand dollars let me be inform
22,"June 18, 2019",Rated 1 stars out of five stars,World's most worst net banking experience with NBD........less useful and this app need to access my phone call.... WHY ?????? Please learn from HDFC bank from India.
23,"June 5, 2019",Rated 3 stars out of five stars,I hate when I am in a situation I need the app but it won't work unless I update with every update. It happened several times with me
24,"June 22, 2019",Rated 5 stars out of five stars,"the app is good but it takes too much space and it is slow at times, specially when using the smart pass feature."
25,"June 23, 2019",Rated 4 stars out of five stars,I like this app but due to lack of future date options for credit card payments I am giving 4 stars....Once this option is included will give full rating.
26,"June 27, 2019",Rated 1 stars out of five stars,"This is more interested in getting access to my photos, videos, and call features than letting me do my BANKING!!!"
27,"June 2, 2019",Rated 1 stars out of five stars,rubbish. I have been blackmailed into using the app by the bank not allowing me to access my online banking via a PC.
28,"June 26, 2019",Rated 5 stars out of five stars,Very convenient and useful. But needs to make sure the app always the latest update. Otherwise may get stuck.
29,"June 22, 2019",Rated 1 stars out of five stars,"The home page have a lot of options wish I don't need, I search and explore a lot to get what I really need to do"
30,"May 31, 2019",Rated 5 stars out of five stars,"Amazing banking experience i have ever found in an App. All of wat u need to do from payments, deposits, transfers, loans etc it's all here and it's very easy to use as well. Thumbs up."
31,"May 26, 2019",Rated 5 stars out of five stars,"With this app, I have never felt the need of going to the bank myself. It really brings everything to my phone. This is revolutionary and truly a new style of branchless banking. Kudos to the developing team."
32,"May 30, 2019",Rated 4 stars out of five stars,I like the ease of making payments for utility services. I take about a minute to finish paying all the monthly bills. International transfers to India with 0 charges and immediate transfers. Money is in my Indian bank in 5 minutes.
33,"June 23, 2019",Rated 1 stars out of five stars,1. to enter birth date: so many clicks 2. it logged me out (although I was not slow at sll)
34,"June 14, 2019",Rated 2 stars out of five stars,"currently cant login, always saying checking the internet connection , kibdly note that i am typing this with internet connection . :/"
35,"May 31, 2019",Rated 3 stars out of five stars,"please compress APK file, allow user to disable some feature or make it simpler, it's too large more than 50MB only for mobile banking app, user just need to check balance, movement and doing transactions (transfer/payment)"
36,"June 19, 2019",Rated 1 stars out of five stars,"app is not working properly, its loading very slowly and directremit is not working."
37,"May 30, 2019",Rated 1 stars out of five stars,App is trying to force me to activate a function I do not want. It seems I can no longer use the app until inactivated this smart pass. Very frustrating .
38,"June 8, 2019",Rated 5 stars out of five stars,ENBD is really developing year by year plus the security level is really high... branches r all over UAE .... a lot of v nice offers when using ENBD cards keep it up guys
39,"June 13, 2019",Rated 4 stars out of five stars,was trying to create account but stoped there where it asks you to scan your Emirate ID front side and backside ... so frustrating ....kindly grant me some guidelines
40,"June 27, 2019",Rated 5 stars out of five stars,Best bank i have ever used wnd the best app so easy to use. its literally User friendly. so many options.
41,"June 2, 2019",Rated 1 stars out of five stars,poor programmers. if you log in browser you cannot log on app. so how do you use smartpass
42,"June 3, 2019",Rated 2 stars out of five stars,"After the last update it doesn't show my last statements anymore, I only see the reduced balance! it is not well synced,it shows the transaction with few days delay!!!"
43,"June 3, 2019",Rated 1 stars out of five stars,Horrible customer experience! what criminal will pay for my rta fines. 2 factor authentication to pay RTA question your understanding of your business
44,"June 25, 2019",Rated 3 stars out of five stars,"good experience but I can't activate nbd pay, while taping on the icon showing 'services are not available due to system upgrade"
45,"June 14, 2019",Rated 1 stars out of five stars,Application clashes after the latest update provided. Not able to use the application. pls fix this ASAP
46,"June 14, 2019",Rated 5 stars out of five stars,"Very good, especially I like Fingerprint login. No headache of remembering passwords."
47,"June 22, 2019",Rated 2 stars out of five stars,unable to download update. it gets stuck at 97% due to this unable to use application. kindly fix this
48,"June 1, 2019",Rated 4 stars out of five stars,"Very easy to use ,Saves time .I really appreciate the developers .Thanks a lot"
49,"June 23, 2019",Rated 1 stars out of five stars,I cant update and now i cant use the app what do i do this is really annoying because i need to transfer money right now
50,"June 24, 2019",Rated 5 stars out of five stars,"awesome online services,i m really inspired by the NBD online account Managment team,Nice work dudes"
51,"June 23, 2019",Rated 5 stars out of five stars,Everything is perfect but I have forgotten the secret question so is the username and now I can't access
52,"June 22, 2019",Rated 1 stars out of five stars,"annoying with all imposed again and again, unwated features; not user friendly; often not responding"
53,"June 22, 2019",Rated 2 stars out of five stars,"The download for that update is never completed, and now we can not access the app"
54,"June 22, 2019",Rated 1 stars out of five stars,why the hell does this get updated in a month's time and why does this need access to storage
55,"June 21, 2019",Rated 1 stars out of five stars,"No good offers for ENBD card holders in AbuDhabi, base branches closed, no ATM network...useless credit card"
56,"June 22, 2019",Rated 5 stars out of five stars,I love it i never go to my Bank personally. Everything i need is in this app.
57,"May 31, 2019",Rated 4 stars out of five stars,"it is very good Apps, but the system of the security should be reconsidered"
58,"June 22, 2019",Rated 2 stars out of five stars,forced me to update when i needed to urgently check something. so annoying.
